Date,	Value
Dec 31 2018,	20.49
Sep 30 2018,	21.77
Jun 30 2018,	17.75
Mar 31 2018,	15.11
Dec 31 2017,	16.21
Sep 30 2017,	20.19
Jun 30 2017,	19.67
Mar 31 2017,	16.02
Dec 31 2016,	9.27
Sep 30 2016,	-1.73
Jun 30 2016,	-8.42
Mar 31 2016,	-12.91
Dec 31 2015,	-15.42
Sep 30 2015,	-14.44
Jun 30 2015,	-7.96
Mar 31 2015,	-1.59
Dec 31 2014,	2.11
Sep 30 2014,	12.28
Jun 30 2014,	13.38
Mar 31 2014,	14.99
Dec 31 2013,	15.82
Sep 30 2013,	9.10
Jun 30 2013,	3.45
Mar 31 2013,	-0.95
Dec 31 2012,	-0.51
Sep 30 2012,	-0.55
Jun 30 2012,	4.83
Mar 31 2012,	8.89
Dec 31 2011,	12.41
Sep 30 2011,	21.04
Jun 30 2011,	24.99
Mar 31 2011,	33.45
Dec 31 2010,	51.76
Sep 30 2010,	473.05
Jun 30 2010,	793.48
Mar 31 2010,	788.19
Dec 31 2009,	242.54
Sep 30 2009,	-72.71
Jun 30 2009,	-85.38
Mar 31 2009,	-88.64
Dec 31 2008,	-77.52
Sep 30 2008,	-41.54
Jun 30 2008,	-39.51
Mar 31 2008,	-27.37
Dec 31 2007,	-18.81
Sep 30 2007,	0.04
Jun 30 2007,	14.00
Mar 31 2007,	14.42
Dec 31 2006,	16.73
Sep 30 2006,	18.20
Jun 30 2006,	17.75
Mar 31 2006,	20.67
Dec 31 2005,	19.27
Sep 30 2005,	15.06
Jun 30 2005,	12.66
Mar 31 2005,	15.81
Dec 31 2004,	20.13
Sep 30 2004,	49.74
Jun 30 2004,	62.52
Mar 31 2004,	71.50
Dec 31 2003,	76.66
Sep 30 2003,	28.43
Jun 30 2003,	29.21
Mar 31 2003,	22.75
Dec 31 2002,	11.75
Sep 30 2002,	6.11
Jun 30 2002,	-27.32
Mar 31 2002,	-45.64
Dec 31 2001,	-50.62
Sep 30 2001,	-47.28
Jun 30 2001,	-29.14
Mar 31 2001,	-10.81
Dec 31 2000,	3.80
Sep 30 2000,	22.16
Jun 30 2000,	26.57
Mar 31 2000,	32.75
Dec 31 1999,	27.74
Sep 30 1999,	15.41
Jun 30 1999,	5.26
Mar 31 1999,	-2.93
